"Exp.or.Imp","Year","HS","Unit1","Unit2","Quantity1.Year","Quantity2.Year","Value.Year","Quantity1.Jan","Quantity2.Jan","Value.Jan","Quantity1.Feb","Quantity2.Feb","Value.Feb","Quantity1.Mar","Quantity2.Mar","Value.Mar","Quantity1.Apl","Quantity2.Apl","Value.Apl","Quantity1.May","Quantity2.May","Value.May","Quantity1.Jun","Quantity2.Jun","Value.Jun","Quantity1.Jul","Quantity2.Jul","Value.Jul","Quantity1.Aug","Quantity2.Aug","Value.Aug","Quantity1.Sep","Quantity2.Sep","Value.Sep","Quantity1.Oct","Quantity2.Oct","Value.Oct","Quantity1.Nov","Quantity2.Nov","Value.Nov","Quantity1.Dec","Quantity2.Dec","Value.Dec","Quantity1.Apr","Quantity2.Apr","Value.Apr"
2,2009,"'081050000'","  ","KG",0,58500529,19668266,0,22642,5929,0,11321,2901,0,22642,6184,0,8544410,2674860,0,10673301,3311428,0,12548304,3760243,0,6893036,1989516,0,7479022,2284020,0,7786517,2078831,0,3465654,2724880,0,1053680,829474,0,0,0,NA,NA,NA
2,2010,"'081050000'","  ","KG",0,62962844,21045802,0,336,275,0,0,0,0,7707,3434,0,9148251,2932735,0,16522280,5489416,0,8136401,2502913,0,7837454,2351549,0,9237805,2764265,0,5562295,1470699,0,4961097,2841888,0,1255404,607823,0,293814,80805,NA,NA,NA
2,2011,"'081050000'","  ","KG",0,65894753,21045528,0,0,0,0,201330,39006,0,180830,38196,0,12825291,4067267,0,14053026,4405987,0,7403965,2295986,0,6688744,2192093,0,10882732,3278387,0,7367085,1993387,0,1790599,580725,0,4448165,2146598,0,52986,7896,NA,NA,NA
2,2012,"'081050000'","  ","KG",0,63970012,21899763,0,67990,10958,0,460362,79297,0,624832,125139,0,8345796,2947896,0,10681306,3804818,0,14762536,5075655,0,6919920,2237534,0,9439411,3072969,0,5603495,1633727,0,2540959,1016250,0,4458792,1881840,0,64613,13680,NA,NA,NA
2,2013,"'081050000'","  ","KG",0,58747147,20460112,0,242898,57463,0,252621,60678,0,123012,32591,0,8606237,2717057,0,11773732,3966071,0,9819845,3354065,0,7218512,2451653,0,9333407,2671831,0,5314333,1422607,0,2649169,717864,0,2498197,2005953,0,915184,1002279,NA,NA,NA
2,2014,"'081050000'","  ","KG",0,65061181,22211493,0,0,0,0,63573,20152,0,63573,20353,0,12427058,4490055,0,11443192,4362383,0,8825520,3080824,0,11858804,4236505,0,5911868,1758156,0,7234915,2113872,0,3782486,1121450,0,3415632,996378,0,34560,11365,NA,NA,NA
2,2015,"'081050000'","  ","KG",0,78647999,27225017,0,0,0,0,52986,19505,0,114999,44441,0,11606560,4038496,0,16354992,5784310,0,16261715,5760269,0,9653057,3468418,0,9193650,3129645,0,7157945,2317085,0,4120800,1323193,0,3780132,1214632,0,351163,125023,NA,NA,NA
2,2016,"'081050000'","  ","KG",0,93191986,31182422,0,439794,165014,0,614477,213635,0,535106,176844,0,12297799,4453351,0,16003867,5391954,0,22442661,7767617,0,12003217,4088612,0,8133936,2604682,0,5721059,1696039,0,5995165,1783438,0,6022118,1869698,0,2982787,971538,NA,NA,NA
2,2017,"'081050000'","  ","KG",0,92981379,34940112,0,568231,185933,0,796453,276190,0,819135,297207,NA,NA,NA,0,20007987,7524480,0,18993239,7344420,0,11992920,4759984,0,10145993,3813633,0,7164554,2408974,0,5172069,1720689,0,6244891,2104254,0,1010722,381114,0,10065185,4123234
2,2018,"'081050000'","  ","KG",0,106082208,40951792,0,597519,195660,0,443807,149192,0,620044,210879,NA,NA,NA,0,21810921,8508631,0,19231679,7526849,0,7367929,2985310,0,11644282,4677095,0,14618178,5657086,0,8926420,3103724,0,9738379,3308815,0,1133318,385086,0,9949732,4243465
2,2019,"'081050000'","  ","KG",0,106499892,44761720,0,352775,122842,0,539612,171367,0,986554,335906,NA,NA,NA,0,24919869,10894871,0,18297735,7843344,0,13161184,5558619,0,9231119,3901247,0,10138102,4136296,0,8230097,2919720,0,5795606,2021572,0,266576,107727,0,14580663,6748209
2,2020,"'081050000'","  ","KG",0,113432084,48967760,0,1114928,406465,0,1315005,429394,0,3257759,1493060,NA,NA,NA,0,31090118,14602840,0,15641177,6625956,0,8307781,3502974,0,7310052,2958477,0,9273427,3842462,0,10537152,4090803,0,7342231,2612856,0,521867,201270,0,17720587,8201203
2,2021,"'081050000'","  ","KG",0,118221226,50376983,0,797402,311295,0,812824,312056,0,4520272,2146972,NA,NA,NA,0,18669129,7978135,0,18590792,7912875,0,17365671,7556393,0,13436722,5629797,0,11129283,4638292,0,8634557,3550423,0,7480089,2755853,0,1391731,505687,0,15392754,7079205
2,2022,"'081050000'","  ","KG",0,112267372,50153804,0,489710,216852,0,777198,339714,0,3164534,1539431,NA,NA,NA,0,24492611,10951989,0,24436337,11032622,0,12812680,5709609,0,8179997,3458233,0,9234537,4018886,0,6799530,2941841,0,7028492,2854746,0,632955,258602,0,14218791,6831279
2,2023,"'081050000'","  ","KG",0,96221603,46638135,0,318397,160446,0,441805,230140,0,330704,166250,NA,NA,NA,0,23416792,11027268,0,18465668,9161844,0,17492266,8229268,0,7585487,3578886,0,7915970,3678718,0,3341874,1374972,0,310262,187780,0,537667,328094,0,16064711,8514469
2,2024,"'081050000'","  ","KG",0,115529294,59546125,0,510662,309599,0,403847,257979,0,645855,479476,NA,NA,NA,0,26264553,13618995,0,21575727,10924228,0,13505275,6938689,0,13186147,6667056,0,12886553,6616819,0,5496519,2502377,0,4809850,2025019,0,389612,232241,0,15854694,8973647
