"quantity","value","price","year","country"
NA,NA,NA,1985,"Domestic Kiwifruit"
NA,NA,NA,1986,"Domestic Kiwifruit"
NA,NA,NA,1987,"Domestic Kiwifruit"
33128,11921505,360,1988,"Domestic Kiwifruit"
48794,13694494,281,1989,"Domestic Kiwifruit"
41971,13231104,315,1990,"Domestic Kiwifruit"
66179,12492876,189,1991,"Domestic Kiwifruit"
35048,11749367,335,1992,"Domestic Kiwifruit"
44145,10719209,243,1993,"Domestic Kiwifruit"
42298,9423723,223,1994,"Domestic Kiwifruit"
41292,9157584,222,1995,"Domestic Kiwifruit"
35134,8502037,242,1996,"Domestic Kiwifruit"
30546,8828543,289,1997,"Domestic Kiwifruit"
25664,8957533,349,1998,"Domestic Kiwifruit"
24108,8327494,345,1999,"Domestic Kiwifruit"
29147,8182863,281,2000,"Domestic Kiwifruit"
32827,7958094,242,2001,"Domestic Kiwifruit"
31425,7687119,245,2002,"Domestic Kiwifruit"
28110,8970355,319,2003,"Domestic Kiwifruit"
24629,8610469,350,2004,"Domestic Kiwifruit"
20721,8294286,400,2005,"Domestic Kiwifruit"
29410,7746514,263,2006,"Domestic Kiwifruit"
23409,8168316,349,2007,"Domestic Kiwifruit"
23059,7848951,340,2008,"Domestic Kiwifruit"
28873,8526126,295,2009,"Domestic Kiwifruit"
29960,9486435,317,2010,"Domestic Kiwifruit"
21280,8503027,400,2011,"Domestic Kiwifruit"
22594,8749779,387,2012,"Domestic Kiwifruit"
27789,9804743,353,2013,"Domestic Kiwifruit"
26477,10413620,393,2014,"Domestic Kiwifruit"
26358,11134347,422,2015,"Domestic Kiwifruit"
21630,11003618,509,2016,"Domestic Kiwifruit"
20635,10406653,504,2017,"Domestic Kiwifruit"
25694,10998690,428,2018,"Domestic Kiwifruit"
20875,9796003,469,2019,"Domestic Kiwifruit"
21448,10578490,493,2020,"Domestic Kiwifruit"
19589,9629311,492,2021,"Domestic Kiwifruit"
16287,8705037,534,2022,"Domestic Kiwifruit"
22602,11637722,515,2023,"Domestic Kiwifruit"
NA,NA,NA,1985,"Imported Kiwifruit"
NA,NA,NA,1986,"Imported Kiwifruit"
NA,NA,NA,1987,"Imported Kiwifruit"
59725,19494793,326,1988,"Imported Kiwifruit"
49640,19239781,388,1989,"Imported Kiwifruit"
62918,19960270,317,1990,"Imported Kiwifruit"
49279,16099624,327,1991,"Imported Kiwifruit"
44925,15629789,348,1992,"Imported Kiwifruit"
42938,13242392,308,1993,"Imported Kiwifruit"
37185,11451322,308,1994,"Imported Kiwifruit"
35813,9557176,267,1995,"Imported Kiwifruit"
34487,10909101,316,1996,"Imported Kiwifruit"
30850,11010799,357,1997,"Imported Kiwifruit"
32000,11581459,362,1998,"Imported Kiwifruit"
29331,11008988,375,1999,"Imported Kiwifruit"
28164,10056286,357,2000,"Imported Kiwifruit"
26646,9348037,351,2001,"Imported Kiwifruit"
33868,12836340,379,2002,"Imported Kiwifruit"
33490,13144479,392,2003,"Imported Kiwifruit"
39875,16265049,408,2004,"Imported Kiwifruit"
35596,14624294,411,2005,"Imported Kiwifruit"
35601,14783465,415,2006,"Imported Kiwifruit"
35832,15500842,433,2007,"Imported Kiwifruit"
34128,15076718,442,2008,"Imported Kiwifruit"
35792,15680854,438,2009,"Imported Kiwifruit"
41951,17452065,416,2010,"Imported Kiwifruit"
40834,17403445,426,2011,"Imported Kiwifruit"
41502,18265640,440,2012,"Imported Kiwifruit"
37722,16635768,441,2013,"Imported Kiwifruit"
41051,18658617,455,2014,"Imported Kiwifruit"
42936,20484281,477,2015,"Imported Kiwifruit"
46587,22474813,482,2016,"Imported Kiwifruit"
45502,23173025,509,2017,"Imported Kiwifruit"
51981,26459448,509,2018,"Imported Kiwifruit"
51414,27114001,527,2019,"Imported Kiwifruit"
50480,27039264,536,2020,"Imported Kiwifruit"
54299,29081274,536,2021,"Imported Kiwifruit"
48085,26578844,553,2022,"Imported Kiwifruit"
42143,24489716,581,2023,"Imported Kiwifruit"
